Country,Capital,Official Language(s),Population,Area (km²),Continent
Argentina,Buenos Aires,Spanish,"45,376,763","2,780,400",South America
Australia,Canberra,English,"26,505,959","7,692,024",Oceania
Brazil,Brasília,Portuguese,"215,313,498","8,514,877",South America
Canada,Ottawa,"English, French","38,929,902","9,984,670",North America
China,Beijing,Mandarin Chinese,"1,425,887,337","9,596,961",Asia
Colombia,Bogotá,Spanish,"50,882,884","1,141,748",South America
Egypt,Cairo,Arabic,"104,888,401","1,002,000",Africa
France,Paris,French,"67,970,571","643,801",Europe
Germany,Berlin,German,"83,369,843","357,022",Europe
Greece,Athens,Greek,"10,423,054","131,957",Europe
India,New Delhi,"Hindi, English","1,417,173,173","3,287,263",Asia
Indonesia,Jakarta,Indonesian,"273,523,615","1,904,569",Asia
Italy,Rome,Italian,"59,097,904","301,340",Europe
Japan,Tokyo,Japanese,"123,294,513","377,975",Asia
Mexico,Mexico City,Spanish,"126,014,024","1,964,375",North America
Netherlands,Amsterdam,Dutch,"17,441,139","41,543",Europe
New Zealand,Wellington,"English, Māori","5,124,100","268,021",Oceania
Nigeria,Abuja,English,"223,804,632","923,768",Africa
Norway,Oslo,Norwegian,"5,379,475","385,207",Europe
Pakistan,Islamabad,"Urdu, English","220,892,340","796,095",Asia
Russia,Moscow,Russian,"144,104,080","17,098,242",Europe
Saudi Arabia,Riyadh,Arabic,"34,813,871","2,149,690",Asia
South Africa,Pretoria,11 Official Languages,"60,142,978","1,221,037",Africa
South Korea,Seoul,Korean,"51,745,000","100,210",Asia
Spain,Madrid,Spanish,"47,450,795","505,992",Europe
Sweden,Stockholm,Swedish,"10,353,442","450,295",Europe
Switzerland,Bern,"German, French, Italian","8,636,896","41,285",Europe
Thailand,Bangkok,Thai,"71,601,103","513,120",Asia
Turkey,Ankara,Turkish,"84,339,067","783,356",Asia
United Kingdom,London,English,"67,736,802","242,495",Europe
United States,"Washington, D.C.",English,"338,289,857","9,833,520",North America
Vatican City,Vatican City,"Italian, Latin",825,0.44,Europe
Vietnam,Hanoi,Vietnamese,"98,176,244","331,210",Asia
